,ProductID,smiles,standardized_smiles,mol,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,RingCount,HeavyAtomCount,FractionCSP3,FormalCharge
94,304,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Na+].[Na+],CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1,<rdkit.Chem.rdchem.Mol object at 0x1254cece0>,498.4110000000003,-8.393000000000011,3,12,216.2,9,3,35,0.25,0
95,306,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)CN2,<rdkit.Chem.rdchem.Mol object at 0x1254ced50>,511.50800000000027,-3.7812999999999963,5,11,225.5,10,3,35,0.3,0
96,307,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)CN2,<rdkit.Chem.rdchem.Mol object at 0x1254cedc0>,511.50800000000027,-3.7812999999999963,5,11,225.5,10,3,35,0.3,0
97,309,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)CN2,<rdkit.Chem.rdchem.Mol object at 0x1254cef80>,511.50800000000027,-3.7812999999999963,5,11,225.5,10,3,35,0.3,0
98,310,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)CN2,<rdkit.Chem.rdchem.Mol object at 0x1254cf0d0>,511.50800000000027,-3.7812999999999963,5,11,225.5,10,3,35,0.3,0
99,321,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O.CS(=O)(=O)O,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x123974040>,377.46600000000007,2.3444199999999995,3,6,102.23,4,3,26,0.2777777777777778,0
100,324,C1=CC=C2C(=C1)C=NN=C2NN.Cl,NNc1nncc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x1239740b0>,196.64100000000002,1.3371999999999995,2,4,63.83,1,2,13,0.0,0
101,325,C1=CC=C2C(=C1)C=NN=C2NN.Cl,NNc1nncc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x123974120>,196.64100000000002,1.3371999999999995,2,4,63.83,1,2,13,0.0,0
102,326,C1=CC=C2C(=C1)C=NN=C2NN.Cl,NNc1nncc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x123974190>,196.64100000000002,1.3371999999999995,2,4,63.83,1,2,13,0.0,0
103,327,C1=CC=C2C(=C1)C=NN=C2NN.Cl,NNc1nncc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x123974200>,196.64100000000002,1.3371999999999995,2,4,63.83,1,2,13,0.0,0
104,328,C1=CC=C2C(=C1)C=NN=C2NN.Cl,NNc1nncc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x123974270>,196.64100000000002,1.3371999999999995,2,4,63.83,1,2,13,0.0,0
105,329,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,<rdkit.Chem.rdchem.Mol object at 0x1239742e0>,397.36400000000003,0.5724999999999998,4,5,119.69000000000003,1,5,27,0.5555555555555556,0
106,329,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x123974350>,320.88899999999995,4.6612000000000045,0,3,6.48,3,3,21,0.29411764705882354,0
107,330,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,<rdkit.Chem.rdchem.Mol object at 0x1239743c0>,397.36400000000003,0.5724999999999998,4,5,119.69000000000003,1,5,27,0.5555555555555556,0
108,330,CNC[C@@H](C1=CC(=CC=C1)O)O.Cl,CNCC(O)c1cccc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x123974430>,203.669,1.0667999999999997,3,3,52.489999999999995,3,1,13,0.3333333333333333,0
109,330,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x1239744a0>,320.88899999999995,4.6612000000000045,0,3,6.48,3,3,21,0.29411764705882354,0
110,331,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O.OP(=O)(O)O,COc1cc(NC(C)CCCN)c2ncccc2c1,<rdkit.Chem.rdchem.Mol object at 0x123974510>,455.34100000000007,0.9255000000000004,8,6,215.68999999999997,6,2,29,0.4,0
111,337,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x123974580>,345.9550000000001,4.824000000000006,0,3,29.54,7,2,23,0.9473684210526315,0
112,338,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x1239745f0>,345.9550000000001,4.824000000000006,0,3,29.54,7,2,23,0.9473684210526315,0
113,339,C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]6CCCN6C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]7CCCN7C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC8=CNC9=CC=CC=C98)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CO)N,CSCCC(NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CO)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C)C(C)C)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x123974660>,4541.14199999999,-15.1620900000003,63,61,1836.2499999999984,145,12,322,0.5652173913043478,0
